BuildingArea,YearBuilt,Car,Address,Postcode,Rooms,Price,Date
,,1.0,85 Turner St,3067.0,2,1480000.0,3/12/2016
79.0,1900.0,0.0,25 Bloomburg St,3067.0,2,1035000.0,4/02/2016
150.0,1900.0,0.0,5 Charles St,3067.0,3,1465000.0,4/03/2017
,,1.0,40 Federation La,3067.0,3,850000.0,4/03/2017
142.0,2014.0,2.0,55a Park St,3067.0,4,1600000.0,4/06/2016
,,0.0,129 Charles St,3067.0,2,941000.0,7/05/2016
210.0,1910.0,0.0,124 Yarra St,3067.0,3,1876000.0,7/05/2016
107.0,1890.0,2.0,98 Charles St,3067.0,2,1636000.0,8/10/2016
,,1.0,6/241 Nicholson St,3067.0,1,300000.0,8/10/2016
75.0,1900.0,2.0,10 Valiant St,3067.0,2,1097000.0,8/10/2016
,,1.0,411/8 Grosvenor St,3067.0,2,700000.0,12/11/2016
190.0,2005.0,2.0,40 Nicholson St,3067.0,3,1350000.0,12/11/2016
94.0,2009.0,1.0,123/56 Nicholson St,3067.0,2,750000.0,12/11/2016
,,1.0,45 William St,3067.0,2,1172500.0,13/08/2016
,,1.0,7/20 Abbotsford St,3067.0,1,441000.0,14/05/2016
97.0,1890.0,2.0,16 William St,3067.0,2,1310000.0,15/10/2016
110.0,1880.0,1.0,42 Henry St,3067.0,3,1200000.0,16/07/2016
105.0,1890.0,1.0,78 Yarra St,3067.0,3,1176500.0,16/07/2016
,,0.0,196 Nicholson St,3067.0,3,955000.0,17/09/2016
73.0,1985.0,1.0,42 Valiant St,3067.0,2,890000.0,17/09/2016
135.0,1900.0,2.0,3/72 Charles St,3067.0,4,1330000.0,18/03/2017
,2010.0,2.0,13/11 Nicholson St,3067.0,3,900000.0,18/03/2017
27.0,,2.0,138/56 Nicholson St,3067.0,3,1090000.0,18/03/2017
60.0,1970.0,1.0,6/219 Nicholson St,3067.0,2,500000.0,18/06/2016
135.0,2013.0,1.0,52a William St,3067.0,2,1100000.0,18/06/2016
85.0,1900.0,0.0,49 Park St,3067.0,2,1315000.0,19/11/2016
,,1.0,5/20 Abbotsford St,3067.0,1,426000.0,22/08/2016
174.0,2012.0,1.0,48 Abbotsford St,3067.0,3,1447500.0,22/08/2016
50.0,,1.0,116/56 Nicholson St,3067.0,1,457000.0,22/08/2016
128.0,1920.0,2.0,159 Park St,3067.0,2,1135000.0,22/08/2016
,,1.0,31 Turner St,3067.0,4,1542000.0,24/09/2016
18.0,,2.0,166 Gipps St,3067.0,3,1290000.0,25/02/2017
124.0,1950.0,1.0,60 Stafford St,3067.0,3,1290000.0,25/02/2017
50.0,2013.0,1.0,11/205 Gipps St,3067.0,1,470000.0,26/07/2016
91.0,1900.0,0.0,47 Studley St,3067.0,2,1180000.0,27/11/2016
128.0,1998.0,1.0,45 Yarra St,3067.0,3,1195000.0,27/11/2016
82.0,1900.0,0.0,200 Nicholson St,3067.0,2,1012500.0,28/05/2016
81.0,1930.0,1.0,27 Charles St,3067.0,2,1030000.0,30/07/2016
225.0,2016.0,1.0,154 Halsey Rd,3042.0,3,840000.0,3/09/2016
145.0,1965.0,1.0,50 Bedford St,3042.0,3,730000.0,3/12/2016
145.0,1965.0,1.0,50 Bedford St,3042.0,3,770000.0,4/03/2017
84.0,1950.0,1.0,23 Hart St,3042.0,2,603000.0,4/03/2017
134.0,2009.0,2.0,1/80 Hawker St,3042.0,3,700000.0,4/03/2017
116.0,1980.0,1.0,1/37 Hillside Gr,3042.0,3,600000.0,4/03/2017
86.0,2011.0,1.0,2/49 McIntosh St,3042.0,2,500000.0,4/03/2017
,,1.0,54 Marshall Rd,3042.0,3,720000.0,6/08/2016
127.0,,2.0,36 Roberts Rd,3042.0,4,785000.0,6/08/2016
186.0,1980.0,2.0,11 Harrington Rd,3042.0,6,725000.0,7/05/2016
90.0,2015.0,1.0,2/252 Parer Rd,3042.0,2,450000.0,7/05/2016
73.0,2013.0,1.0,3/19 Hart St,3042.0,2,515000.0,7/11/2016
94.0,2012.0,1.0,2/62 Clydesdale Rd,3042.0,2,530000.0,10/09/2016
133.0,1975.0,6.0,3 Deidre Ct,3042.0,3,895000.0,10/09/2016
105.0,1950.0,1.0,13 Etzel St,3042.0,3,805000.0,10/12/2016
130.0,1993.0,1.0,1/43 Cameron St,3042.0,3,752000.0,11/02/2017
,,1.0,145a Victory Rd,3042.0,2,440000.0,13/08/2016
,,2.0,241 Parer Rd,3042.0,5,755000.0,14/05/2016
133.0,2009.0,2.0,2/40 Earl St,3042.0,3,700000.0,15/10/2016
113.0,1960.0,2.0,180 Parer Rd,3042.0,3,830000.0,16/04/2016
,2003.0,1.0,4/54 Hawker St,3042.0,2,462500.0,16/07/2016
,,2.0,43 Hillside Gr,3042.0,3,670000.0,16/07/2016
100.0,1975.0,1.0,174 Parer Rd,3042.0,2,675000.0,16/07/2016
174.0,1950.0,5.0,138 Victory Rd,3042.0,3,1042000.0,16/07/2016
,,1.0,75 King St,3042.0,3,910000.0,17/09/2016
309.0,1980.0,4.0,6 Kittyhawk St,3042.0,4,773000.0,17/09/2016
192.0,1980.0,2.0,478 Fullarton Rd,3042.0,3,810000.0,18/03/2017
126.0,1995.0,2.0,144 Marshall Rd,3042.0,3,715000.0,18/03/2017
,,3.0,106 Parer Rd,3042.0,3,790000.0,18/03/2017
101.0,2010.0,1.0,3/7 South Rd,3042.0,3,540000.0,18/06/2016
102.0,1960.0,1.0,37 North St,3042.0,3,825000.0,19/11/2016
113.0,1975.0,1.0,10 Hilbert Rd,3042.0,3,685000.0,22/05/2016
,,1.0,110 Halsey Rd,3042.0,3,805000.0,22/08/2016
76.0,,1.0,2/13 North St,3042.0,2,510000.0,22/08/2016
,,1.0,105a Victory Rd,3042.0,3,612000.0,22/08/2016
,,2.0,117 Marshall Rd,3042.0,3,662000.0,23/04/2016
,,2.0,34 Moorna Dr,3042.0,4,978000.0,24/09/2016
,,1.0,33 North St,3042.0,3,720000.0,25/02/2017
,,2.0,49 Roberts Rd,3042.0,4,765000.0,27/11/2016
146.0,1975.0,3.0,85 Roberts Rd,3042.0,4,900000.0,27/11/2016
82.0,1900.0,0.0,105 Kerferd Rd,3206.0,2,1275000.0,3/09/2016
,,0.0,85 Richardson St,3206.0,2,1455000.0,3/09/2016
198.0,1890.0,0.0,112 Beaconsfield Pde,3206.0,3,2850000.0,4/03/2017
133.0,1890.0,0.0,94 Graham St,3206.0,3,1850000.0,4/03/2017
81.0,1900.0,0.0,396 Montague St,3206.0,2,1436000.0,4/03/2017
,1900.0,0.0,75 Graham St,3206.0,2,1110000.0,6/08/2016
,,1.0,54 Brooke St,3206.0,2,1550000.0,7/05/2016
180.0,1880.0,1.0,104 Richardson St,3206.0,4,2300000.0,7/05/2016
,,2.0,4a Mills St,3206.0,3,1550000.0,7/11/2016
159.0,1996.0,1.0,1 Moubray St,3206.0,3,1800000.0,7/11/2016
107.0,1900.0,1.0,29 Faussett St,3206.0,2,2120000.0,10/09/2016
,,1.0,3 Herbert St,3206.0,3,1800000.0,10/09/2016
122.0,1900.0,1.0,24 Kerferd Pl,3206.0,3,1800000.0,10/09/2016
,,0.0,44 Draper St,3206.0,2,1810000.0,10/12/2016
181.0,1880.0,1.0,2 Dundas Pl,3206.0,3,2615000.0,10/12/2016
,,1.0,23 Finlay St,3206.0,5,2100000.0,10/12/2016
,,0.0,31 Richardson St,3206.0,3,1300000.0,10/12/2016
85.0,2000.0,2.0,4a Gatehouse La,3206.0,3,1370000.0,12/06/2016
,,0.0,60 Brooke St,3206.0,2,1000000.0,12/11/2016
,,1.0,70 Barrett St,3206.0,3,2575000.0,15/10/2016
98.0,1890.0,0.0,65 Graham St,3206.0,2,1322500.0,15/10/2016
83.0,1890.0,0.0,364 Montague St,3206.0,2,1562500.0,15/10/2016
147.0,1900.0,1.0,86 Mills St,3206.0,3,2000000.0,16/04/2016
,1900.0,0.0,129 Kerferd Rd,3206.0,3,1900000.0,18/03/2017
146.0,1890.0,0.0,97 Page St,3206.0,3,3010000.0,18/03/2017
254.0,1910.0,1.0,55 Withers St,3206.0,4,2800000.0,18/06/2016
,,1.0,10/140 Kerferd Rd,3206.0,2,647000.0,22/05/2016
123.0,1900.0,1.0,55 Merton St,3206.0,3,2100000.0,23/04/2016
131.0,1890.0,1.0,49 Page St,3206.0,3,2000000.0,24/09/2016
34.0,1970.0,0.0,13/52 Moubray St,3206.0,1,442500.0,25/02/2017
207.0,1910.0,1.0,115 Page St,3206.0,4,4735000.0,25/02/2017
,,0.0,32 Page St,3206.0,2,1340000.0,25/02/2017
,,1.0,34 Richardson St,3206.0,3,1801000.0,25/02/2017
,,1.0,2b Dundas Pl,3206.0,3,1532000.0,26/07/2016
,,2.0,22 Greig St,3206.0,3,3755000.0,26/07/2016
145.0,1880.0,1.0,27 Barrett St,3206.0,4,2140000.0,27/06/2016
,,1.0,44 Greig St,3206.0,2,1750000.0,27/11/2016
68.0,1890.0,0.0,6 Brooke St,3206.0,2,980000.0,28/05/2016
,,0.0,227a Danks St,3206.0,3,2030000.0,28/08/2016
134.0,1890.0,2.0,17 Reed St,3206.0,3,1740000.0,28/08/2016
,,1.0,74 Bridport St,3206.0,3,2800000.0,30/07/2016
54.0,1900.0,0.0,9 Durham St,3206.0,1,985000.0,30/07/2016
263.0,1930.0,4.0,6 Smith St,3078.0,4,2000000.0,3/09/2016
,2013.0,2.0,5/6 Yarralea St,3078.0,3,1110000.0,3/09/2016
,,2.0,136A Fulham Rd,3078.0,3,1492000.0,4/03/2017
203.0,1925.0,1.0,44 Shiers St,3078.0,4,1717500.0,8/10/2016
165.0,1910.0,4.0,83 Fulham Rd,3078.0,5,2840000.0,12/06/2016
60.0,1960.0,1.0,3/19 Harker St,3078.0,2,525500.0,12/11/2016
140.0,2004.0,3.0,4/2 Miller St,3078.0,2,805000.0,12/11/2016
,,1.0,2/5 Yarana Rd,3078.0,2,465000.0,12/11/2016
,,2.0,815 Heidelberg Rd,3078.0,3,2000000.0,15/10/2016
,,2.0,44 Naroon Rd,3078.0,3,1540000.0,16/04/2016
,,1.0,3/98 Grange Rd,3078.0,2,820000.0,18/03/2017
112.0,1970.0,2.0,10 Bennett St,3078.0,4,1830000.0,19/11/2016
