MESANO,DESCRIÇÃO,PREÇO UNIT,QUANTIDADE
2018-05-01,OLEO SAE 5W30,"22,90","108,00"
2018-05-01,SACO PARA LIXO 100LT.,"48,70","4,00"
2018-05-01,COPO DESCARTAVEL AGUA,"3,91","150,00"
2018-05-01,DESINFETANTE 02LITROS,"2,90","96,00"
2018-05-01,VASSOURA DE NYLON.,"5,95","6,00"
2018-05-01,PAPEL TOALHA INTERFOLHA,"39,70","10,00"
2018-05-01,CLORO LIQUIDO.,"2,00","36,00"
2018-05-01,PANO DE PRATO 100% ALGODAO.,"1,68","40,00"
2018-05-01,BALDE PLASTICO.,"2,94","4,00"
2018-05-01,BALDE PLASTICO I,"6,02","4,00"
2018-05-01,SACO PARA LIXO 30LT.,"11,20","10,00"
2018-05-01,SACO PARA LIXO 50LT.,"24,92","8,00"
2018-05-01,SACO PARA LIXO 15LT.,"7,00","10,00"
2018-05-01,PAPEL HIGIENICO FOLHA SIMPLES,"45,75","10,00"
2018-05-01,ESPONJA DE ACO PCT. 08UND,"1,21","20,00"
2018-05-01,SABONETE LIQUIDO.,"12,00","4,00"
2018-05-01,SACO DE PANO ALVEJADO.,"2,53","20,00"
2018-05-01,ESCOVA PARA LAVAR ROUPA.,"1,35","2,00"
2018-05-01,COPO DESCARTAVEL CAFE,"1,55","50,00"
2018-05-01,PAPEL TOALHA MULTIUSO,"2,96","24,00"
2018-05-01,BISCOITO DOCE SEM RECHEIO.,"3,25","20,00"
2018-05-01,BISCOITO SALGADO.,"3,55","20,00"
2018-05-01,CHA A BASE DE MATE TOSTADO.,"6,00","10,00"
2018-05-01,GASOLINA COMUM OU ADITIVADA,"4,27","2.152,03"
2018-05-01,DIESEL S-10 COMUM,"3,34","865,93"
2018-05-01,GASOLINA COMUM OU ADITIVADA,"4,27","118,09"
2018-05-01,CARGA OXIGENIO 10M3,"215,00","3,00"
2018-05-01,MUSSARELA FATIADA.,"22,00","2,00"
2018-05-01,BEBIDA DE FRUTA ADOCADA,"3,70","20,00"
2018-05-01,PRESUNTO COZIDO MAGRO FATIADO,"20,00","2,00"
2018-05-01,MORTADELA DE 1a QUALIDADE,"14,90","2,00"
2018-05-01,LEITE ESPECIAL 8,"48,00","10,00"
2018-05-01,LEITE ESPECIAL 17,"19,50","18,00"
2018-05-01,LEITE ESPECIAL 17,"19,50","2,00"
2018-05-01,GASOLINA COMUM OU ADITIVADA,"4,27","4,16"
2018-05-01,7083053 JG PASTILHA DE FREIO,"271,99","1,00"
2018-05-01,51731590 VIDRO,"777,19","1,00"
2018-05-01,735365251 ALAVANCA INT.PORTA,"247,21","1,00"
2018-05-01,MUSSARELA FATIADA.,"22,00","2,00"
2018-05-01,PRESUNTO COZIDO MAGRO FATIADO,"20,00","2,00"
2018-05-01,MORTADELA DE 1a QUALIDADE,"14,90","2,00"
2018-05-01,SOLVENTE P/ TINTA 900ML,"8,90","2,00"
2018-05-01,SELADOR ACRILICO P/ PAREDE COR,"44,50","2,00"
2018-05-01,SAIS P/ REIDRATACAO ORAL,"0,47","300,00"
2018-05-01,CARBONATO DE CALCIO 500 MG,"0,05","9.000,00"
2018-05-01,ACETATO DE MEDROXIPROGESTERONA,"11,35","50,00"
2018-05-01,ACIDO ASCORBICO 200MG/ML GOTAS,"1,38","100,00"
2018-05-01,"CETOTIFENO FUMARATO 0,2MG/ML","2,84","50,00"
2018-05-01,CODEINA+PARACETEMOL 30MG/500MG,"0,32","1.200,00"
2018-05-01,IBUPROFENO 600MG,"0,12","9.000,00"
2018-05-01,ACIDO VALPROICO 300 MG .,"0,55","3.000,00"
2018-05-01,DIVALPROATO DE SODIO 125 MG.,"0,67","600,00"
2018-05-01,CLARITROMICINA 250MG/5ML,"41,00","20,00"
2018-05-01,SULFATO DE GLUCOSAMINA 500MG +,"1,10","1.200,00"
2018-05-01,COMPLEXO B GOTAS .,"2,27","300,00"
2018-05-01,RISPERIDONA 1 MG SOL ORAL,"5,99","30,00"
2018-05-01,ACETILCISTEINA 100MG GRANULADO,"0,65","320,00"
2018-05-01,AMILORIDA/HIDROCLOROTIAZIDA,"0,16","3.000,00"
2018-05-01,ATENOLOL/CLORTALIDONA,"0,18","3.000,00"
2018-05-01,BROMAZEPAM 6 MG .,"0,17","6.000,00"
